feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae	Rhodospirillaceae
2021_12_13_nct_3_16S_PDA-MAPS	43	261	1477	0	220	31	0	6652	7	393	6324	3	8	0	0	304	14	3	0	131	0	0	22	0	9	0	673	1	158	0	0	26	46	0	0	0	0	90	0	53	0	19	0	6	3	7	0	0	7	38	15	0	217	0	0	2	0	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	5	0	0	0	0	0	0
2022_12_20_JU124_16S_PDA-MAPS	0	0	2	3	0	19	0	1191	0	250	181	3	0	0	0	0	13	72	596	3	48	0	102	298	11	0	10	5	30927	222	0	12	43	0	61	347	0	235	336	33	0	3	0	2	0	0	0	0	3	0	3	0	2	1	0	0	0	0	5	0	6	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0
2022_12_20_ctrl3_16S_PDA-MAPS	0	0	0	0	298	0	0	1984	0	0	0	1	0	0	0	0	78	0	5	77	19	0	0	0	1	0	1	0	17176	5	0	0	0	0	0	1040	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	0	6	0	0	0	1	0	0	0	2	6	0	0	0	0	51	0	0	2	0	1	0	0	0	0	3	1	0	1	0	7	1	0	0	0	9
2022_12_20_JU015_16S_PDA-MAPS	220	14	137	111	8	0	8	602	9	52	15	0	1	4	128	0	0	0	82	112	2612	0	83	62	0	0	3	1	247	0	0	0	0	0	0	370	0	0	894	0	1	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	17	0	0	0	0	0	49	0	9	0	0	4	29	0	0	1	0	1	1	0	1	0	0	1	35	0	1	0	1	0	0	0	0
2022_12_20_JU263_16S_PDA-MAPS	446	6	0	0	0	0	0	8952	0	11075	0	0	0	0	0	0	320	162	0	421	446	0	5	1057	0	9	2	0	66195	3010	911	135	0	469	146	237	0	0	683	3650	0	0	0	0	1	0	132	0	0	0	0	0	8	3	46	1	0	0	652	0	2269	0	0	0	1	0	4	0	0	0	309	0	193	1	1	0	0	0	5	0	2	0	0	0	0	1	0	0	1	0	0	1	0
2022_12_20_JU121_16S_PDA-MAPS	0	0	0	0	0	0	0	4492	0	676	0	0	0	0	0	0	19	0	0	0	659	0	2	2	0	2	1	0	28508	3	1	0	1	0	0	2998	0	0	11026	1	0	0	0	0	0	0	0	0	0	1	0	0	37	3	391	0	0	0	20	0	45	0	0	0	0	0	4	1	169	0	0	0	27	0	0	0	0	0	6	0	2	0	0	1	24	0	0	2	0	0	0	2	0
2022_12_20_JU079_16S_PDA-MAPS	1425	258	1652	2206	238	4	2211	87013	57	13400	191	30	89	861	0	42	103	521	1	195	7	0	889	64662	0	51	11	2	5511	7747	3002	134	356	1443	482	4562	0	142	8880	2973	18	41	64	37	3	58	134	0	14	1	0	0	283	9	1184	1	1564	0	6505	0	255	0	0	1	3	753	1	0	126	1	189	1	600	0	1	9	0	8	6	1	2	0	0	13	0	0	0	0	10	0	0	3	0
2022_12_20_ctrl1_16S_PDA-MAPS	25	0	0	0	248	0	0	1282	0	228	0	124	0	0	0	0	0	1	1	664	116	0	1	152	0	0	0	0	18181	3	0	1	0	0	0	1227	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	26	3	0	0	0	0	18	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2023_01_17_ctrl6_16S_PDA-MAPS	1	15	38	0	1	0	1	329	0	0	1	3	5	0	0	0	1	58	1069	259	5	0	43	143	0	0	17	6	11251	123	0	0	9	0	0	174	0	43	239	13	0	1	0	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	6	9	1	0	0	0	264	0	0	4	0	0	1	0	0	1	1	3	100	0	0	10	0	0	0	1	11
2023_06_01_Nct_09_16S_PDA-MAPS	56	23	0	0	1	0	0	43	0	75	0	0	0	0	0	0	0	29	0	0	0	0	0	38	0	0	0	0	358	0	0	0	0	0	0	20	0	0	466	43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	8	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
