taxID,barcode20,barcode21,barcode22,barcode23
2962065,4,0,0,0
2963940,0,2,0,1
2967130,3,0,0,0
2968500,1,0,0,0
2970464,0,649,0,1
2975324,0,4,0,3
2975349,0,169,0,0
2976680,75,0,0,0
2976812,1,0,0,0
2977320,0,1,0,0
2978473,0,1,0,0
2980026,213,0,0,259
2980027,28,0,0,24
2984322,0,2,0,0
2986280,0,1,0,0
2986281,2,0,0,0
2986928,0,1,0,0
2989767,0,0,0,1
2989768,0,0,0,1
2989771,0,0,0,1
2989772,0,0,0,1
2993430,0,32,0,0
2996034,0,0,0,2
2997354,1,0,0,0
3014784,1,0,0,0
3015177,0,2,0,0
3015996,0,30,0,0
3016000,0,352,0,1
3016342,0,0,2,6
3020908,0,0,0,1
3022697,4,0,0,0
3036128,5,3,2,1
3038077,0,1,0,0
3039153,0,12,0,0
3039154,0,1,0,0
3039386,4,6,0,0
3042152,1,0,0,0
3046670,0,3,0,0
3047478,4,0,0,0
3047871,0,0,0,1
3049774,11,0,0,0
3051614,1,0,0,0
3052086,0,0,0,1
3054939,9,0,0,7
3056444,0,0,0,1
3059027,0,1,0,0
3064278,0,304,0,0
3064287,1,0,0,0
3065910,8,0,0,0
3068341,136,49,4,0
3070677,3,0,0,1
3070678,0,0,0,1
3070679,70,0,0,85
3071408,1,0,0,0
3072790,1,0,0,0
3073561,0,1,0,0
3074855,4,0,0,0
3077584,0,54,0,0
3080015,0,1,0,0
3082444,53,0,0,16
3089814,3,1,0,0
3093660,0,25,0,0
3095608,0,7,0,0
3114367,172,0,0,0
3114537,1,694,0,0
3115655,0,1,0,0
3122075,1715,765,1,1
3126689,1,0,0,0
3131995,0,0,0,12
3133721,0,1,0,0
3140252,79,2,0,0
3141537,7,4,0,0
3141581,2,0,0,0
3157666,0,48,0,0
