feature,metadata,value,coef,stderr,N,N.not.0,pval,ref_value,pval.adj
Lysinibacillus__sphaericus,Control_type,Paraffin,-0.735120835544886,0.365232649578567,262,38,0.0451883303318624,Buffer,0.15196565606243465
Bacillus__thuringiensis,Control_type,Paraffin,1.01563140756092,0.505859727534255,262,41,0.0457224082263424,Buffer,0.15259332593472327
Robbsia__andropogonis,Control_type,Paraffin,-0.66614017102578,0.333383259524811,262,33,0.0467613271875967,Buffer,0.1555876886423672
Streptococcus__agalactiae,Control_type,Paraffin,-1.26018835256917,0.632442046207723,262,109,0.047369809675968,Buffer,0.15725356541004404
Actinobacillus__pleuropneumoniae,Control_type,Paraffin,-0.715470255388487,0.35985953041502,262,33,0.0478553140100655,Buffer,0.15850719391569204
Blautia__massiliensis__.ex__Durand__et__al.__2017.,Control_type,Paraffin,-0.864124497355532,0.436425811858635,262,32,0.0487739898855091,Buffer,0.16050857037021227
Streptococcus__mutans,Control_type,Paraffin,-1.50656775975338,0.761064946823585,262,55,0.0488250113876602,Buffer,0.16050857037021227
Novisyntrophococcus__fermenticellae,Control_type,Paraffin,-0.753089846173428,0.381421590602621,262,33,0.049407733271115,Buffer,0.1615019906323883
Sphingomonas__radiodurans,Control_type,Paraffin,1.09342627654449,0.554007513433605,262,38,0.04949491789417,Buffer,0.1615019906323883
Sphingomonas__endolithica,Control_type,Paraffin,1.88860288148012,0.958483914446088,262,174,0.0498693707919499,Buffer,0.162395889503946
Fusobacterium__canifelinum,Control_type,Paraffin,-0.64365150163964,0.327553757764871,262,33,0.0504925795766725,Buffer,0.1635423373899304
Edwardsiella__tarda,Control_type,Paraffin,-0.555528581484223,0.283404885407604,262,29,0.0510577330787077,Buffer,0.16488644388359133
Brucella__melitensis,Control_type,Paraffin,-0.900026604440155,0.460570278859286,262,41,0.0517714012983351,Buffer,0.16580856696724663
Sphingomonas__sp.__M1.B02,Control_type,Paraffin,1.30711409317656,0.668846047439256,262,107,0.0517564786424966,Buffer,0.16580856696724663
Peptonophilus__genitalis,Control_type,Paraffin,-1.3653958038828,0.699408861072982,262,64,0.0520028533854527,Buffer,0.16622746147664355
Diaphorobacter__sp.__JS3050,Control_type,Paraffin,-1.31084404454548,0.672122689244206,262,45,0.0522311568116801,Buffer,0.16671456447449054
Caballeronia__sp.__SBC1,Control_type,Paraffin,-0.652620750932183,0.334833519864107,262,30,0.0523768092088453,Buffer,0.16691642688523053
Streptococcus__infantis,Control_type,Paraffin,-1.67698867776928,0.861072414820819,262,110,0.0525610350015998,Buffer,0.16691642688523053
Aquabacterium__olei,Control_type,Paraffin,-1.34395194094714,0.690065219187873,262,61,0.0525593358656241,Buffer,0.16691642688523053
Ruminococcus__sp.__FMB.CY1,Control_type,Paraffin,-0.670041533625341,0.3440967027156,262,27,0.0525984368873313,Buffer,0.16691642688523053
Bradyrhizobium__septentrionale,Control_type,Paraffin,1.12829592615683,0.580554529942111,262,49,0.053054143825347,Buffer,0.1678359782066371
Neisseria__sicca,Control_type,Paraffin,-0.958619846577205,0.494566334427936,262,42,0.0536855005442499,Buffer,0.16866002746090525
Paracoccus__kondratievae,Control_type,Paraffin,1.18754598319049,0.614513000240489,262,38,0.054401045758554,Buffer,0.16993555687878317
Intestinibacter__bartlettii,Control_type,Paraffin,-0.92799817570309,0.482622262732316,262,48,0.0556114157293332,Buffer,0.17273361943651447
